Hashtag,Frequency,Country
#distancelearning,1869.0,US
#virtuallearning,406.0,US
#covid19,177.0,US
#remotelearning,144.0,US
#zoom,67.0,US
#edtech,66.0,US
#teacherappreciationweek,63.0,US
#edchat,61.0,US
#teacher,59.0,US
#coronavirus,56.0,US
#onlinelearning,56.0,US
#teacherlife,53.0,US
#education,53.0,US
#distanceteaching,51.0,US
#covid,51.0,US
#stayhome,50.0,US
#teachers,47.0,US
#quarantinelife,47.0,US
#elearning,47.0,US
#kindergarten,41.0,US
课堂,420.0,CHN
雨课堂,405.0,CHN
开学,86.0,CHN
考试,68.0,CHN
老师,58.0,CHN
微博,53.0,CHN
教育观,51.0,CHN
学生,51.0,CHN
环球,51.0,CHN
老师,45.0,CHN
疫情,42.0,CHN
永吉,42.0,CHN
教育,39.0,CHN
学校,35.0,CHN
网课,32.0,CHN
加油,32.0,CHN
教学,31.0,CHN
实验,30.0,CHN
高校,29.0,CHN
上课,29.0,CHN
老师,26.0,CHN
停课,24.0,CHN
永吉实验高级中学,22.0,CHN
幼儿园,22.0,CHN
舞蹈,22.0,CHN
高级中学,22.0,CHN
吉林,21.0,CHN
孩子,21.0,CHN
Apple,20.0,CHN
学生,20.0,CHN
家长,20.0,CHN
网课,20.0,CHN
电脑,20.0,CHN
雨课堂考试,19.0,CHN
高考,19.0,CHN
超话,19.0,CHN
直播,18.0,CHN
共同,18.0,CHN
上课,18.0,CHN
监考,18.0,CHN
大学,18.0,CHN
教育部,17.0,CHN
音乐,17.0,CHN
小学,17.0,CHN
学院,17.0,CHN
北音,17.0,CHN
妈妈,16.0,CHN
吉林市,16.0,CHN
网课,15.0,CHN
线上考试,15.0,CHN
手机,15.0,CHN
复课,15.0,CHN
教育局,14.0,CHN
范爷,14.0,CHN
同学,14.0,CHN
课堂,13.0,CHN
同学,13.0,CHN
长江雨课堂,13.0,CHN
长江,12.0,CHN
长沙,12.0,CHN
作业,12.0,CHN
同学,12.0,CHN
网络,12.0,CHN
北京,12.0,CHN
作品,12.0,CHN
毕业,12.0,CHN
弹幕,11.0,CHN
北京现代,11.0,CHN
研修,11.0,CHN
弹幕,11.0,CHN
返校,11.0,CHN
运动,11.0,CHN
抖音,11.0,CHN
网课,10.0,CHN
上网课,10.0,CHN
微博,10.0,CHN
上网,10.0,CHN
央视,10.0,CHN
网页版,10.0,CHN
团委,10.0,CHN
上课,10.0,CHN
点名,10.0,CHN
高三,9.0,CHN
训练,9.0,CHN
永吉县,9.0,CHN
培训,9.0,CHN
学校,9.0,CHN
考试,9.0,CHN
儿童,9.0,CHN
孩子,9.0,CHN
韩国,9.0,CHN
口罩,9.0,CHN
毕业生,9.0,CHN
微博,9.0,CHN
开学,9.0,CHN
腾讯,9.0,CHN
气死,9.0,CHN
模式,9.0,CHN
家长,9.0,CHN
课程,8.0,CHN
美术,8.0,CHN
公益,8.0,CHN
幼儿,8.0,CHN
世界,8.0,CHN
跳绳,8.0,CHN
上网,8.0,CHN
共青团,8.0,CHN
开心,8.0,CHN
工作室,8.0,CHN
共青团中央,8.0,CHN
游戏,8.0,CHN
摄像头,8.0,CHN
民事诉讼,8.0,CHN
疫情,8.0,CHN
切屏,8.0,CHN
加油,8.0,CHN
崩溃,8.0,CHN
绿洲,8.0,CHN
退出,8.0,CHN
疫情,8.0,CHN
高中,8.0,CHN
检测,7.0,CHN
上课,7.0,CHN
清华,7.0,CHN
数学,7.0,CHN
衣服,7.0,CHN
预告,7.0,CHN
科学,7.0,CHN
开学,7.0,CHN
教师,7.0,CHN
声音,7.0,CHN
会议,7.0,CHN
萌娃,7.0,CHN
年级,7.0,CHN
软件,7.0,CHN
停课,7.0,CHN
哥哥,7.0,CHN
防控,7.0,CHN
上网,6.0,CHN
假期,6.0,CHN
投影仪,6.0,CHN
手机,6.0,CHN
央企,6.0,CHN
屏幕,6.0,CHN
爸爸,6.0,CHN
宿舍,6.0,CHN
职业,6.0,CHN
体验,6.0,CHN
感悟,6.0,CHN
女孩,6.0,CHN
肺炎,6.0,CHN
期末,6.0,CHN
幼师,6.0,CHN
打卡,6.0,CHN
皇冠,6.0,CHN
空中,6.0,CHN
日记,6.0,CHN
问问,6.0,CHN
期末,6.0,CHN
攀枝花,6.0,CHN
交卷,6.0,CHN
妈妈,6.0,CHN
武汉,6.0,CHN
身体,6.0,CHN
烧烤,6.0,CHN
河北,6.0,CHN
音名,6.0,CHN
空中课堂,6.0,CHN
清华大学,5.0,CHN
专业,5.0,CHN
项目,5.0,CHN
测试,5.0,CHN
学期,5.0,CHN
快乐,5.0,CHN
英语,5.0,CHN
会议,5.0,CHN
基本功,5.0,CHN
电视,5.0,CHN
直播,5.0,CHN
转行,5.0,CHN
资源,5.0,CHN
同学,5.0,CHN
互填,5.0,CHN
上网,5.0,CHN
组织,5.0,CHN
中英文,5.0,CHN
校服,5.0,CHN
女生,5.0,CHN
主任,5.0,CHN
回放,5.0,CHN
太阳,5.0,CHN
在行,5.0,CHN
时长,5.0,CHN
抗疫,5.0,CHN
授课,5.0,CHN
不见,5.0,CHN
督导,5.0,CHN
难点,5.0,CHN
http,5.0,CHN
湖南,5.0,CHN
创意,5.0,CHN
中文,5.0,CHN
尴尬,5.0,CHN
课件,5.0,CHN
加油,5.0,CHN
教学,5.0,CHN
作业,5.0,CHN
服务器,5.0,CHN
直播,5.0,CHN
少儿,4.0,CHN
直播间,4.0,CHN
包子,4.0,CHN
学生,4.0,CHN
教育,4.0,CHN
高校,4.0,CHN
编导,4.0,CHN
布置,4.0,CHN
鼓捣,4.0,CHN
爱尔兰,4.0,CHN
跑步,4.0,CHN
微言,4.0,CHN
邹海,4.0,CHN
慢动作,4.0,CHN
复学,4.0,CHN
篮球,4.0,CHN
上网课,4.0,CHN
教练,4.0,CHN
丽江,4.0,CHN
小学生,4.0,CHN
街舞,4.0,CHN
分解,4.0,CHN
娃儿,4.0,CHN
课程,4.0,CHN
下课,4.0,CHN
学期,4.0,CHN
问卷,4.0,CHN
爵士舞,4.0,CHN
太难,4.0,CHN
一小,4.0,CHN
官方,4.0,CHN
学校,4.0,CHN
智慧,4.0,CHN
学院,4.0,CHN
孩子,4.0,CHN
教师,4.0,CHN
平板,4.0,CHN
姐妹,4.0,CHN
太难,4.0,CHN
短视,4.0,CHN
难受,4.0,CHN
答题,4.0,CHN
大学生,4.0,CHN
可怜,4.0,CHN
清华大学,4.0,CHN
老师,4.0,CHN
陪练,3.0,CHN
陪伴,3.0,CHN
腾讯,3.0,CHN
春季,3.0,CHN
名师,3.0,CHN
回答,3.0,CHN
肺炎,3.0,CHN
冠状,3.0,CHN
高校,3.0,CHN
福尔,3.0,CHN
仪式,3.0,CHN
辅导,3.0,CHN
单元,3.0,CHN
增长,3.0,CHN
精品,3.0,CHN
可爱,3.0,CHN
在用,3.0,CHN
测试,3.0,CHN
知识,3.0,CHN
绑定,3.0,CHN
观看,3.0,CHN
题目,3.0,CHN
网络,3.0,CHN
电脑,3.0,CHN
王老爷,3.0,CHN
复工,3.0,CHN
吐槽,3.0,CHN
超话,3.0,CHN
学堂,3.0,CHN
课堂,3.0,CHN
答案,3.0,CHN
授课,3.0,CHN
听课,3.0,CHN
朋友,3.0,CHN
吓人,3.0,CHN
回事,3.0,CHN
求助,3.0,CHN
悲伤,3.0,CHN
主观,3.0,CHN
民法典,3.0,CHN
监控,3.0,CHN
抓拍,3.0,CHN
阿里,3.0,CHN
十分钟,3.0,CHN
病毒,3.0,CHN
幼儿园,3.0,CHN
新型,3.0,CHN
感染,3.0,CHN
家里,3.0,CHN
小程,3.0,CHN
互动,3.0,CHN
截取,3.0,CHN
谢谢,3.0,CHN
共享,2.0,CHN
荷塘,2.0,CHN
旷课,2.0,CHN
曲园,2.0,CHN
有用,2.0,CHN
刘嵘,2.0,CHN
公式,2.0,CHN
测试题,2.0,CHN
悬浮,2.0,CHN
截图,2.0,CHN
作弊,2.0,CHN
三分钟,2.0,CHN
文学院,2.0,CHN
蛋糕,2.0,CHN
作业,2.0,CHN
四十,2.0,CHN
写作,2.0,CHN
计算机,2.0,CHN
学生证,2.0,CHN
声音,2.0,CHN
建筑,2.0,CHN
需求,2.0,CHN
手机,2.0,CHN
生日,2.0,CHN
哪位,2.0,CHN
拍照,2.0,CHN
大连,2.0,CHN
开启,2.0,CHN
不配,2.0,CHN
下雨,2.0,CHN
听讲,2.0,CHN
全程,2.0,CHN
桌面,2.0,CHN
学校,2.0,CHN
瓷器,2.0,CHN
雅思,2.0,CHN
不容,2.0,CHN
钢琴,2.0,CHN
错开,2.0,CHN
欺负,2.0,CHN
快乐,2.0,CHN
健身,2.0,CHN
恭喜,2.0,CHN
保存,2.0,CHN
转战,2.0,CHN
困难,2.0,CHN
论文,2.0,CHN
体验,2.0,CHN
干嘛,2.0,CHN
身份,2.0,CHN
好不容易,2.0,CHN
写作,2.0,CHN
看不到,2.0,CHN
疯狂,2.0,CHN
妹妹,2.0,CHN
辛苦,2.0,CHN
孩子,2.0,CHN
浪费,2.0,CHN
话说,2.0,CHN
代码,2.0,CHN
单纯,2.0,CHN
想开,2.0,CHN
补白,2.0,CHN
通宵,2.0,CHN
白天,2.0,CHN
开课,2.0,CHN
提议,2.0,CHN
大学,2.0,CHN
随便,2.0,CHN
长春,2.0,CHN
老人,2.0,CHN
双机,2.0,CHN
节奏,2.0,CHN
公开课,2.0,CHN
保护,2.0,CHN
当当,2.0,CHN
教授,2.0,CHN
音乐,2.0,CHN
记得,2.0,CHN
教材,2.0,CHN
起床,2.0,CHN
观看,2.0,CHN
学科,2.0,CHN
专业,2.0,CHN
办法,2.0,CHN
教学,2.0,CHN
愿望,2.0,CHN
小朋友,2.0,CHN
尉犁县,2.0,CHN
乐器,2.0,CHN
家庭,2.0,CHN
英语,2.0,CHN
上体,2.0,CHN
眼睛,2.0,CHN
眼病,2.0,CHN
感受,2.0,CHN
皇太极,2.0,CHN
直播,2.0,CHN
爆发式,2.0,CHN
主任医师,2.0,CHN
正确,2.0,CHN
成像,2.0,CHN
防治,2.0,CHN
寒假,2.0,CHN
中小学,2.0,CHN
许昌,2.0,CHN
班主任,2.0,CHN
武汉,2.0,CHN
路上,2.0,CHN
数学,2.0,CHN
沙雕,2.0,CHN
小李,2.0,CHN
睡衣,2.0,CHN
反射,2.0,CHN
中国电信,2.0,CHN
中国移动,2.0,CHN
中国联通,2.0,CHN
上学,2.0,CHN
优势,2.0,CHN
舒适,2.0,CHN
写作,2.0,CHN
原理,2.0,CHN
上海市,2.0,CHN
心情,2.0,CHN
年级,2.0,CHN
电视机,2.0,CHN
中学生,2.0,CHN
焦虑,2.0,CHN
视力,2.0,CHN
门类,2.0,CHN
vip,2.0,CHN
啊哈哈,2.0,CHN
网上,2.0,CHN
哥哥,2.0,CHN
健康,2.0,CHN
办公,2.0,CHN
上线,2.0,CHN
假期,2.0,CHN
符号,2.0,CHN
总理,2.0,CHN
会上,2.0,CHN
学期,2.0,CHN
金刚钻,2.0,CHN
道行,1.0,CHN
化成,1.0,CHN
体育课,1.0,CHN
刻薄,1.0,CHN
狗屁,1.0,CHN
刁钻,1.0,CHN
停课,1.0,CHN
都都,1.0,CHN
按着,1.0,CHN
长老,1.0,CHN
弟弟,1.0,CHN
线性,1.0,CHN
刁难,1.0,CHN
中财,1.0,CHN
太难,1.0,CHN
教会,1.0,CHN
函数,1.0,CHN
规矩,1.0,CHN
全身,1.0,CHN
旗号,1.0,CHN
镜头,1.0,CHN
细心,1.0,CHN
转发,1.0,CHN
规划,1.0,CHN
诚信,1.0,CHN
房子,1.0,CHN
批判,1.0,CHN
打着,1.0,CHN
放下,1.0,CHN
班主任,1.0,CHN
特殊,1.0,CHN
电脑,1.0,CHN
庆祝,1.0,CHN
父母,1.0,CHN
毕业论文,1.0,CHN
划水,1.0,CHN
龙虾,1.0,CHN
中午饭,1.0,CHN
大四,1.0,CHN
满意度,1.0,CHN
小朋友,1.0,CHN
中英,1.0,CHN
告别,1.0,CHN
课外,1.0,CHN
知识,1.0,CHN
孤军,1.0,CHN
启东市,1.0,CHN
恶心,1.0,CHN
殊不知,1.0,CHN
至理名言,1.0,CHN
批改,1.0,CHN
微笑,1.0,CHN
不安,1.0,CHN
学到,1.0,CHN
朋友,1.0,CHN
看看书,1.0,CHN
微博,1.0,CHN
闪闪,1.0,CHN
还好,1.0,CHN
学会,1.0,CHN
战和,1.0,CHN
环境,1.0,CHN
教育,1.0,CHN
荼毒,1.0,CHN
资料,1.0,CHN
毕业,1.0,CHN
早读,1.0,CHN
床上,1.0,CHN
刘磊,1.0,CHN
溜达,1.0,CHN
费劲,1.0,CHN
四大名著,1.0,CHN
上家,1.0,CHN
六年级,1.0,CHN
在教,1.0,CHN
疏离,1.0,CHN
育儿,1.0,CHN
停电,1.0,CHN
邯郸,1.0,CHN
无聊,1.0,CHN
上半身,1.0,CHN
直播间,1.0,CHN
死去活来,1.0,CHN
下半身,1.0,CHN
课表,1.0,CHN
简写,1.0,CHN
时事,1.0,CHN
落空,1.0,CHN
草鞋,1.0,CHN
妄想,1.0,CHN
#covid19,45.0,Nigeria
#badwam,19.0,Nigeria
#fellowghanaians,14.0,Nigeria
#thebigagenda,11.0,Nigeria
#distancelearning,11.0,Nigeria
#covid_19,7.0,Nigeria
#stayathome,6.0,Nigeria
#inclusiveeducation,5.0,Nigeria
#abuja,5.0,Nigeria
#stayhome,4.0,Nigeria
#covid19nigeria,4.0,Nigeria
#blackboard,3.0,Nigeria
#wearetired,3.0,Nigeria
#matterbytaiyel,3.0,Nigeria
#education,3.0,Nigeria
#coronavirus,3.0,Nigeria
#digitaleconomy,3.0,Nigeria
#beyondthelockdown,3.0,Nigeria
#dadaab,3.0,Nigeria
#gcr,3.0,Nigeria
